City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kapaa,22.0752,-159.319,25.18,92,40,3.6,US,1670348107
84,nantucket,41.2835,-70.0995,13.08,76,0,8.23,US,1670348108
85,dikson,73.5069,80.5464,-15.98,96,72,3.89,RU,1670348108
86,alyangula,-13.8483,136.4192,28.33,70,83,4.11,AU,1670348109
87,bandarbeyla,9.4942,50.8122,25.4,70,69,7.2,SO,1670348110
88,kleive,62.7954,7.6359,-0.82,93,100,3.09,NO,1670348110
89,yeppoon,-23.1333,150.7333,21.88,82,0,0.98,AU,1670348110
90,mar del plata,-38.0023,-57.5575,33.79,52,0,5.66,AR,1670348111
91,clyde river,70.4692,-68.5914,-9.87,92,20,3.6,CA,1670348111
92,oistins,13.0667,-59.5333,29.05,58,20,3.6,BB,1670347850
93,upernavik,72.7868,-56.1549,-2.64,82,100,3.35,GL,1670348112
94,east london,-33.0153,27.9116,19.52,77,20,3.6,ZA,1670348113
95,avarua,-21.2078,-159.775,24.03,94,75,5.66,CK,1670348113
96,muros,42.7762,-9.0603,13.94,85,97,1.31,ES,1670348114
97,srednekolymsk,67.45,153.6833,-32.63,98,100,4.62,RU,1670348114
98,adamovka,51.5223,59.9396,-20.52,91,15,3.33,RU,1670348115
99,necochea,-38.5473,-58.7368,24.0,52,100,8.07,AR,1670348115
100,hilo,19.7297,-155.09,24.04,96,100,1.54,US,1670347937
101,saint-philippe,-21.3585,55.7679,25.77,85,54,5.78,RE,1670348116
102,karratha,-20.7377,116.8463,26.77,51,2,8.01,AU,1670348116
103,sitka,57.0531,-135.33,2.94,93,100,2.57,US,1670347993
104,saint george,37.1041,-113.5841,8.47,83,100,1.54,US,1670347826
105,talnakh,69.4865,88.3972,-2.66,96,100,7.59,RU,1670348117
106,garden city,42.3256,-83.331,8.14,69,100,1.54,US,1670347944
107,mlonggo,-6.5333,110.7,25.58,86,100,2.38,ID,1670347909
108,svatove,49.4103,38.1503,-5.17,51,9,6.35,UA,1670348118
109,keetmanshoop,-26.5833,18.1333,26.56,10,0,5.55,NA,1670348119
110,itarema,-2.9248,-39.9167,29.98,57,9,8.74,BR,1670348119
111,tiksi,71.6872,128.8694,-31.56,100,79,1.5,RU,1670348120
112,anqiu,36.4342,119.1925,0.82,58,1,1.61,CN,1670348120
113,mastung,29.7994,66.845,7.84,46,0,1.03,PK,1670348121
114,thompson,55.7435,-97.8558,-32.91,75,20,2.57,CA,1670347845
115,ginir,7.1333,40.7,14.96,53,75,1.1,ET,1670348121
116,qaqortoq,60.7167,-46.0333,1.32,98,100,2.33,GL,1670348122
117,provideniya,64.3833,-173.3,-4.07,76,100,5.54,RU,1670348122
118,calatrava,10.595,123.4838,25.53,84,86,1.94,PH,1670348123
119,mahebourg,-20.4081,57.7,25.16,83,40,5.14,MU,1670348123
120,sechura,-5.5569,-80.8222,26.38,54,41,5.63,PE,1670348124
121,peniche,39.3558,-9.3811,15.04,90,98,1.54,PT,1670348124
122,comodoro rivadavia,-45.8667,-67.5,22.92,21,40,9.77,AR,1670348085
123,salmo,49.1999,-117.2689,-4.73,93,100,1.65,CA,1670348125
124,hobyo,5.3505,48.5268,25.35,83,100,7.18,SO,1670348125
125,saldanha,-33.0117,17.9442,20.03,74,22,4.85,ZA,1670348126
126,dalby,-27.1833,151.2667,20.52,31,1,2.1,AU,1670348126
127,lisakovsk,52.5369,62.4936,-25.79,98,21,1.81,KZ,1670348127
128,homer,59.6425,-151.5483,2.93,93,100,2.06,US,1670348127
129,canutama,-6.5339,-64.3831,32.3,55,70,1.22,BR,1670348127
130,changli,39.7042,119.1506,-3.35,28,0,3.67,CN,1670348128
131,bonthe,7.5264,-12.505,27.88,76,52,4.34,SL,1670348128
132,apple valley,34.5008,-117.1859,9.53,69,100,4.02,US,1670348129
133,kristiinankaupunki,62.2743,21.376,0.38,62,98,5.28,FI,1670348129
134,tual,-5.6667,132.75,28.19,69,92,3.79,ID,1670348130
135,lebu,-37.6167,-73.65,18.99,65,4,3.92,CL,1670348038
136,new norfolk,-42.7826,147.0587,7.72,75,29,1.04,AU,1670348130
137,xuddur,4.1213,43.8894,25.78,64,96,7.89,SO,1670348131
138,bengkulu,-3.8004,102.2655,23.94,90,100,1.69,ID,1670348131
139,estelle,29.8458,-90.1067,26.0,77,100,5.14,US,1670348132
140,yarke pole,45.608,34.3172,2.92,86,100,2.76,UA,1670348132
141,flinders,-34.5833,150.8552,13.92,91,71,2.63,AU,1670348133
142,vardo,70.3705,31.1107,-1.01,86,75,7.72,NO,1670348133
